@RELATION relation

@ATTRIBUTE lemma	string
@ATTRIBUTE pos 	string
%조사 + 접미사 = postposition
@ATTRIBUTE postposition 	{yes,no}
@ATTRIBUTE class 	{relation,other}

@DATA
'월호항','NNP',no,other
'은','JX',yes,other
'전라남도','NNP',no,other
'여수','NNP',no,other
'시','NNG',no,other
'화정','NNG',no,other
'면','NNG',no,other
'월호','NNP',no,other
'리','NNG',no,other
'월호','NNG',no,other
'마을','NNG',no,other
'인근','NNG',no,other
'에','JKB',yes,other
'있','VV',no,relation
'는','ETM',no,other
'어항','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'기아','NNP',no,other
'파맥스','NNP',no,other
'(','SS',no,other
'Kia','SL',no,other
'Pamax','SL',no,other
')','SS',no,other
'는','JX',yes,other
'기아','NNG',no,other
'자동','NNG',no,other
'차','NNG',no,other
'의','JKG',yes,other
'상용','NNG',no,other
'차','NNG',no,other
'이','VCP',no,relation
'다','EF',no,other
'.','SF',no,other
'설립','NNG',no,other
'자','XSN',yes,other
'로버트','NNP',no,other
'슐러','NNP',no,other
'의','JKG',yes,other
'장녀','NNG',no,other
'이','VCP',no,other
'ㄴ','ETM',no,other
'렇','VA',no,other
'어','EC',no,other
'르','VV',no,relation
'어','EC',no,other
'콜맨','NNG',no,other
'이','JKS',yes,other
'담임','NNG',no,other
'목사','NNG',no,other
'로','JKB',yes,other
'있','VV',no,relation
'다','EF',no,other
'.','SF',no,other
'활','NNG',no,other
'과','JC',yes,other
'화살','NNG',no,other
'은','JX',yes,other
'예','NNG',no,other
'로부터','JKB',yes,other
'군사','NNG',no,other
'적','XSN',yes,other
'이','VCP',no,other
'ㄴ','ETM',no,other
'목적','NNG',no,other
'뿐','JX',yes,other
'아니','VCN',no,other
'라','EC',no,other
'경기','NNG',no,other
'ㆍ','SP',no,other
'놀이','NNG',no,other
'ㆍ','SP',no,other
'제사','NNG',no,other
'의','JKG',yes,other
'용도','NNG',no,other
'로','JKB',yes,other
'도','JX',yes,other
'쓰이','VV',no,relation
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'영국','NNP',no,other
'영화','NNG',no,other
'계','XSN',yes,other
'를','JKO',yes,other
'대표하','NNG+XSV',yes,relation
'는','ETM',no,other
'배우','NNG',no,other
'중','NNB',no,other
'한','MM',no,other
'명','NNB',no,other
'으로','JKB',yes,other
'꼽히','VV',no,relation
'ㄴ다','EF',no,other
'.','SF',no,other
'노먼','NNP',no,other
'교수','NNG',no,other
'의','JKG',yes,other
'초기','NNG',no,other
'저서','NNG',no,other
'들','XSN',yes,other
'은','JX',yes,other
'대','XPN',no,other
'부분','NNG',no,other
'사용','NNG',no,other
'성','XSN',yes,other
'(','SS',no,other
'Usability','SL',no,other
')','SS',no,other
'나','JC',yes,other
'인지','NNG',no,other
'심리','NNG',no,other
'학','XSN',yes,other
'(','SS',no,other
'Cognitive','SL',no,other
'Psychology','SL',no,other
')','SS',no,other
'에','JKB',yes,other
'관하','VV',no,relation
'ㄴ','ETM',no,other
'것','NNB',no,other
'이','VCP',no,relation
'었','EP',no,other
'다','EF',no,other
'.','SF',no,other
'2002','SN',no,other
'년','NNB',no,other
'영국','NNP',no,other
'명예','NNG',no,other
'KBE','SL',no,other
'훈장','NNG',no,other
'(','SS',no,other
'외국','NNG',no,other
'인','XSN',yes,other
'대상','NNG',no,other
'명예','NNG',no,other
'훈장','NNG',no,other
')','SS',no,other
'을','JKO',yes,other
