@RELATION subject

@ATTRIBUTE lemma	string
@ATTRIBUTE pos 	string
@ATTRIBUTE sentencelength 	numeric
@ATTRIBUTE startposition 	numeric
@ATTRIBUTE endposition 	numeric
@ATTRIBUTE postlemma 	string
@ATTRIBUTE postpos 	string
@ATTRIBUTE class 	{subject,object}

@DATA
'월호항','NNP',98,0,8,'은','JX',subject
'전라남도여수시화정면월호리월호마을인근','NNP+NNP+NNG+NNG+NNG+NNP+NNG+NNG+NNG+NNG',98,13,74,'에','JKB',object
'어항','NNG',98,86,91,'이','VCP',object
'기아파맥스(KiaPamax)','NNP+NNP+SS+SL+SL+SS',65,0,26,'는','JX',subject
'기아자동차','NNG+NNG+NNG',65,31,45,'의','JKG',object
'상용차','NNG+NNG',65,50,58,'이','VCP',object
'코노트(Connacht)','NNP+SS+SL+SS',62,0,18,'는','JX',subject
'아일랜드','NNP',62,23,34,'의','JKG',object
'지방중하나','NNG+NNB+NR',62,39,55,'이','VCP',object
'대학수학능력시험(大學修學能力試驗,)','NNG+NNG+NNG+NNG+SS+SH+SP+SS',138,0,51,'은','JX',subject
'1994학년도','SN+NNG',138,56,68,'부터','JX',object
'대한민국','NNP',138,76,87,'의','JKG',object
'대학입학평가','NNG+NNG+NNG',138,92,111,'에','JKB',object
'시험','NNG',138,126,131,'이','VCP',object
'안','NNG',101,0,2,'도','JX',object
'노부마사','NNP',101,7,18,'의','JKG',object
'어릴적이름','NNG+XSN+NNG',101,23,38,'은','JX',subject
'긴노신()','NNP+SS+SS',101,43,53,'이','VCP',object
'나중','NNG',101,61,66,'에','JKB',object
'긴노스케()','NNP+SS+SS',101,71,84,'로','JKB',object
'아르파케운','NNG+NNP',90,0,15,'은','JX',subject
'칸','NNG',90,20,22,'에','JKB',object
'샤라프알딘','NNP+NNP',90,58,73,'을','JKO',object
'조선불교중앙교무원(朝鮮佛敎中央敎務院)','NNP+NNG+NNG+NNG+SS+SH+SS',109,0,55,'은','JX',subject
'일제강점기','NNG+NNG',109,60,75,'의','JKG',object
'불교계중앙기관','NNG+XSN+NNG+NNG',109,80,102,'이','VCP',object
'조선문학예술총동맹(朝鮮文學藝術總同盟)','NNP+NNG+NNG+NNG+SS+SH+SS',122,0,55,'은','JX',subject
'조선민주주의인민공화국','NNG+NNG+NNG+NNG+NNG',122,60,92,'의','JKG',object
'예술','NNG',122,97,102,'이','VCP',object
'조직체','NNG+XSN',122,107,115,'이','VCP',object
'대북포용정책','NNG+NNG+NNG',91,0,18,'이','VCP',object
'이른바햇볕정책','MAG+NNG+NNG',91,23,44,'도','JX',object
'정부출범직후','NNG+NNG+NNG',91,49,68,'부터','JX',object
'이문주(李文主,1884년~1945년6월)','NNP+SS+SH+SP+SN+NNB+SO+SN+NNB+SN+NNB+SS',80,0,43,'는','JX',subject
'한국','NNP',80,48,53,'의','JKG',object
'장로교목사','NNG+NNG+NNG',80,58,73,'이','VCP',object
'SN2005ap','SL+SN+SL',57,0,8,'는','JX',subject
'극도','NNG',57,13,18,'로','JKB',object
'강력하','NNG+XSA',57,23,28,'ㄴ','ETM',object
'II형초신성','SL+XSN+XPN+NNG',57,33,47,'이','VCP',object
'메르브','NNP',73,0,8,'는','JX',subject
'아케메네스왕조','NNP+NNG',73,13,34,'의','JKG',object
'마르기아나총독령','NNP+NNG',73,39,63,'이','VCP',object
'벤10()','NNG+SN+SS+SS',76,0,7,'은','JX',subject
'카툰네트워크','NNP+NNG',76,12,29,'에서','JKB',object
'방영중','NNG+NNB',76,37,45,'이','VCP',object
'만화들중하나','NNG+XSN+NNB+NR',76,50,69,'이','VCP',object
'1939년9월1일,독일','SN+NNB+SN+NNB+SN+NNB+SP+NNP',98,0,24,'이','JKS',subject
'폴란드','NNP',98,29,37,'를','JKO',object
'제2차세계대전','XPN+SN+NNB+NNG+NNP',98,58,78,'이','JKS',subject
'트래직템플(TragicTemple)','NNG+NNP+SS+SL+SL+SS',70,0,30,'은','JX',subject
'대한민국','NNP',70,35,46,'의','JKG',object
'힙합그룹','NNG+NNG',70,51,63,'이','VCP',object
'노팅힐','NNP',89,0,8,'은','JX',subject
'영화장소','NNG+NNG',89,13,25,'로','JKB',object
'인기','NNG',89,30,35,'가','JKS',subject
'높','VA',89,40,42,'아서','EC',object
'제작자','NNG+XSN',89,70,78,'가','JKS',subject
'남자친구','NNG+NNG',70,0,12,'는','JX',subject
'연애관계','NNG+NNG',70,17,29,'에','JKB',object
'남성','NNG',70,41,46,'이','VCP',object
'친구','NNG',70,51,56,'를','JKO',object
'요즈음','NNG',87,0,8,'에','JKB',object
'사이안화수소','NNG+NNG+NNG',87,16,34,'가','JKS',subject
